Name,Inconel-X-750,,
Temperature Limit,1255,"heat-treated material has useful strength up to 1800Â°F",
Density,8280,Melt Temperature,1666.15
Temperature,Specific Heat,Thermal Conductivity,Emissivity
116.4833,305.64,9.65681,
144.2611,334.94,10.0892,
199.8167,376.81,10.66573,
294.2611,431.24,11.96291,
366.4833,456.36,12.8277,
477.5944,485.67,14.12488,
588.7056,502.42,15.71033,0.895
699.8167,523.35,17.29577,
810.9278,544.28,18.88122,
922.0389,573.59,20.6108,
1033.15,632.21,22.19624,
1144.261,715.94,23.63756,
1366.483,,,0.925
