Name,LRSI,,,,
Temperature,1330,,,,
Min,Path,Portion,Tickness,Temp Hot Side, Temp Cold Side
Top Layer,bib/materials/RCG-White.csv,1,0.000254,1330,1330
Layer,bib/materials/LI-900.csv,1,0.0254,1330,400
Layer,bib/materials/SIP.csv,0.8,0.002,400,400
Layer,bib/materials/RTV.csv,1.6,0.00019,400,400
Max,Path,Portion,Tickness,Temp Hot Side, Temp Cold Side
Top Layer,bib/materials/RCG-White.csv,1,0.000254,1330,1330
Layer,bib/materials/LI-900.csv,1,0.0254,1330,400
Layer,bib/materials/SIP.csv,0.8,0.002,400,400
Layer,bib/materials/RTV.csv,1.6,0.00019,400,400